City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Lensk,RU,60.7253,114.9278,17.47,93,76,3.51,broken clouds
307,Huarmey,PE,-10.0681,-78.1522,70.0,70,17,9.17,few clouds
308,Nipawin,CA,53.3668,-104.0009,30.24,74,1,6.91,clear sky
309,Leningradskiy,RU,69.3833,178.4167,0.81,94,100,9.82,overcast clouds
310,Storforshei,NO,66.4043,14.5233,47.98,71,75,12.66,light rain
311,Saskylakh,RU,71.9167,114.0833,12.97,95,100,8.12,overcast clouds
312,Selfoss,IS,63.9331,-20.9971,40.08,73,9,11.92,clear sky
313,Padang,ID,-0.9492,100.3543,77.05,92,100,3.15,heavy intensity rain
314,Muros,ES,42.7762,-9.0603,63.09,71,100,8.3,light rain
315,Shimoda,JP,34.6667,138.95,59.11,87,96,8.79,overcast clouds
316,Pacific Grove,US,36.6177,-121.9166,54.43,91,40,1.99,scattered clouds
317,Gerash,IR,27.6652,54.1371,78.94,21,0,2.73,clear sky
318,Umm Kaddadah,SD,13.6017,26.6876,96.42,14,8,12.17,clear sky
319,Teya,RU,60.3778,92.6267,21.13,91,100,2.62,overcast clouds
320,Eyl,SO,7.9803,49.8164,80.17,74,64,16.37,broken clouds
321,Algiers,DZ,36.7525,3.042,78.62,50,40,24.16,scattered clouds
322,Mitake,JP,35.4167,137.1333,58.03,84,0,3.65,clear sky
323,Alofi,NU,-19.0595,-169.9187,73.29,83,97,8.05,overcast clouds
324,Daru,PG,-9.0763,143.2092,80.31,86,100,12.5,overcast clouds
325,Mamakan,RU,57.8161,114.0028,27.3,93,100,2.75,overcast clouds
326,Finschhafen,PG,-6.6024,147.8681,79.11,83,100,6.91,overcast clouds
327,Sao Filipe,CV,14.8961,-24.4956,80.53,72,84,11.95,broken clouds
328,Bagotville,AU,-28.9833,153.4167,59.63,91,100,6.6,overcast clouds
329,Pafos,CY,34.7667,32.4167,75.11,64,20,3.44,few clouds
330,Cherskiy,RU,68.75,161.3,-0.02,98,100,5.03,light snow
331,Pangnirtung,CA,66.1451,-65.7125,25.32,96,100,1.81,overcast clouds
332,Kununurra,AU,-15.7667,128.7333,78.78,89,45,0.0,scattered clouds
333,Talnakh,RU,69.4865,88.3972,0.66,97,100,6.98,overcast clouds
334,Ust-Tsilma,RU,65.441,52.1498,20.21,96,95,4.79,overcast clouds
335,College,US,64.8569,-147.8028,46.35,42,75,12.66,broken clouds
336,Dikson,RU,73.5069,80.5464,6.73,93,100,10.58,overcast clouds
337,Pescara,IT,42.3333,13.95,65.14,79,84,4.88,broken clouds
338,Churapcha,RU,62.0025,132.4325,7.84,90,100,10.2,overcast clouds
339,Sobolevo,RU,54.4299,31.8996,44.85,71,0,11.27,clear sky
340,Beisfjord,NO,68.3751,17.5988,46.45,88,100,10.94,overcast clouds
341,Tabou,CI,4.423,-7.3528,82.4,76,81,9.69,light rain
342,Skibbereen,IE,51.55,-9.2667,48.0,75,32,29.39,scattered clouds
